Detector,Descriptor,Frame,Keypoints in ROI,Keypts in ROI matched,Time for detection [ms],Time for descriptor [ms],Total time [ms]
HARRIS,SIFT,0,17,NaN,27.0609,36.0367,63.0976
HARRIS,SIFT,1,14,14,24.9353,38.6756,63.6109
HARRIS,SIFT,2,18,11,18.2368,36.1144,54.3512
HARRIS,SIFT,3,21,16,24.1829,31.2851,55.468
HARRIS,SIFT,4,26,19,21.2131,40.8174,62.0304
HARRIS,SIFT,5,43,22,29.975,40.2953,70.2703
HARRIS,SIFT,6,18,22,27.4784,36.7272,64.2056
HARRIS,SIFT,7,31,13,18.5531,36.1044,54.6575
HARRIS,SIFT,8,26,24,23.2756,33.7513,57.0268
HARRIS,SIFT,9,34,22,28.7418,46.8756,75.6174
HARRIS,BRIEF,0,17,NaN,24.1538,2.0054,26.1592
HARRIS,BRIEF,1,14,14,24.6967,1.1903,25.8871
HARRIS,BRIEF,2,18,11,22.7142,2.40637,25.1206
HARRIS,BRIEF,3,21,15,27.9113,1.02216,28.9335
HARRIS,BRIEF,4,26,20,30.6512,1.01794,31.6692
HARRIS,BRIEF,5,43,24,40.8336,2.32756,43.1612
HARRIS,BRIEF,6,18,26,21.6667,2.55971,24.2264
HARRIS,BRIEF,7,31,16,23.4438,1.42021,24.864
HARRIS,BRIEF,8,26,24,24.0729,2.08552,26.1585
HARRIS,BRIEF,9,34,23,33.0759,1.17887,34.2548
HARRIS,ORB,0,17,NaN,31.588,2.76242,34.3504
HARRIS,ORB,1,14,12,30.6775,2.4173,33.0948
HARRIS,ORB,2,18,12,30.7039,1.10236,31.8063
HARRIS,ORB,3,21,15,27.1212,2.00084,29.122
HARRIS,ORB,4,26,18,23.7385,1.42077,25.1593
HARRIS,ORB,5,43,24,42.9934,1.34777,44.3411
HARRIS,ORB,6,18,20,25.6829,1.19156,26.8745
HARRIS,ORB,7,31,15,28.1666,2.43344,30.6001
HARRIS,ORB,8,26,24,32.0976,2.78478,34.8824
HARRIS,ORB,9,34,22,33.3459,1.05437,34.4003
HARRIS,BRISK,0,17,NaN,23.4468,1.06708,24.5139
HARRIS,BRISK,1,14,12,18.6215,1.09337,19.7148
HARRIS,BRISK,2,18,10,18.4644,1.06501,19.5295
HARRIS,BRISK,3,21,14,16.864,1.06775,17.9317
HARRIS,BRISK,4,26,15,18.4152,1.25531,19.6705
HARRIS,BRISK,5,43,16,30.2358,1.45572,31.6915
HARRIS,BRISK,6,18,16,17.8268,1.05815,18.885
HARRIS,BRISK,7,31,15,22.9762,1.2261,24.2023
HARRIS,BRISK,8,26,23,18.5274,1.15532,19.6828
HARRIS,BRISK,9,34,21,22.6758,1.3438,24.0196
HARRIS,FREAK,0,17,NaN,19.6231,51.3928,71.0159
HARRIS,FREAK,1,14,13,18.5421,47.315,65.857
HARRIS,FREAK,2,18,13,15.2212,46.0532,61.2744
HARRIS,FREAK,3,21,15,14.9221,49.1909,64.113
HARRIS,FREAK,4,26,15,17.3497,53.7188,71.0685
HARRIS,FREAK,5,43,17,29.411,42.8448,72.2558
HARRIS,FREAK,6,18,20,13.4189,48.1313,61.5502
HARRIS,FREAK,7,31,12,14.4417,46.0939,60.5356
HARRIS,FREAK,8,26,21,13.3912,46.6307,60.0219
HARRIS,FREAK,9,34,18,19.1975,46.1448,65.3424
SHITOMASI,SIFT,0,125,NaN,14.4941,31.2618,45.7559
SHITOMASI,SIFT,1,118,112,17.1918,33.052,50.2437
SHITOMASI,SIFT,2,123,109,22.1535,23.3943,45.5478
SHITOMASI,SIFT,3,120,104,25.2774,28.5954,53.8729
SHITOMASI,SIFT,4,120,103,22.8095,34.057,56.8664
SHITOMASI,SIFT,5,113,99,20.5475,27.5746,48.1221
SHITOMASI,SIFT,6,114,101,17.0377,28.9853,46.023
SHITOMASI,SIFT,7,123,96,20.2659,30.6031,50.8691
SHITOMASI,SIFT,8,111,106,12.4497,26.4491,38.8988
SHITOMASI,SIFT,9,112,97,20.9941,32.2315,53.2255
SHITOMASI,BRIEF,0,125,NaN,22.3777,1.24179,23.6195
SHITOMASI,BRIEF,1,118,115,16.2967,2.7825,19.0792
SHITOMASI,BRIEF,2,123,111,21.6244,1.07703,22.7015
SHITOMASI,BRIEF,3,120,104,19.8183,0.743113,20.5614
SHITOMASI,BRIEF,4,120,101,20.7572,2.22097,22.9781
SHITOMASI,BRIEF,5,113,102,22.3976,0.916847,23.3144
SHITOMASI,BRIEF,6,114,102,21.5885,2.22972,23.8182
SHITOMASI,BRIEF,7,123,100,19.9134,1.71601,21.6294
SHITOMASI,BRIEF,8,111,109,20.537,0.829542,21.3665
SHITOMASI,BRIEF,9,112,100,18.0219,1.97977,20.0017
SHITOMASI,ORB,0,125,NaN,15.1177,1.99955,17.1173
SHITOMASI,ORB,1,118,106,16.4571,1.97574,18.4328
SHITOMASI,ORB,2,123,102,16.7634,2.71659,19.48
SHITOMASI,ORB,3,120,99,18.9481,1.14393,20.092
SHITOMASI,ORB,4,120,102,19.1245,2.45852,21.583
SHITOMASI,ORB,5,113,103,21.0564,2.41963,23.476
SHITOMASI,ORB,6,114,97,20.3698,2.62347,22.9933
SHITOMASI,ORB,7,123,98,21.4427,2.07986,23.5225
SHITOMASI,ORB,8,111,104,22.7992,2.72487,25.5241
SHITOMASI,ORB,9,112,97,22.2632,3.03894,25.3022
SHITOMASI,BRISK,0,125,NaN,18.0623,1.69742,19.7598
SHITOMASI,BRISK,1,118,95,13.5669,1.44935,15.0163
SHITOMASI,BRISK,2,123,88,12.5375,1.70806,14.2455
SHITOMASI,BRISK,3,120,80,12.1333,1.55893,13.6922
SHITOMASI,BRISK,4,120,90,12.5474,1.74588,14.2933
SHITOMASI,BRISK,5,113,82,13.1046,1.6058,14.7104
SHITOMASI,BRISK,6,114,79,11.6925,1.64541,13.3379
SHITOMASI,BRISK,7,123,85,12.2347,1.80048,14.0352
SHITOMASI,BRISK,8,111,86,12.4451,1.61102,14.0561
SHITOMASI,BRISK,9,112,82,17.4926,1.49651,18.9891
SHITOMASI,FREAK,0,125,NaN,13.8548,47.4957,61.3506
SHITOMASI,FREAK,1,118,86,11.8514,50.1958,62.0472
SHITOMASI,FREAK,2,123,90,13.1106,49.6466,62.7573
SHITOMASI,FREAK,3,120,86,15.0537,52.947,68.0007
SHITOMASI,FREAK,4,120,88,16.1088,52.6189,68.7277
SHITOMASI,FREAK,5,113,86,15.4781,48.8183,64.2963
SHITOMASI,FREAK,6,114,80,15.7513,54.718,70.4693
SHITOMASI,FREAK,7,123,81,14.3133,48.7312,63.0445
SHITOMASI,FREAK,8,111,86,17.0084,48.2681,65.2765
SHITOMASI,FREAK,9,112,85,11.0822,49.9098,60.992
SIFT,SIFT,0,138,NaN,121.861,81.0444,202.905
SIFT,SIFT,1,132,82,101.607,86.3327,187.939
SIFT,SIFT,2,124,81,104.677,88.3787,193.056
SIFT,SIFT,3,137,85,98.8037,82.1806,180.984
SIFT,SIFT,4,134,93,99.0724,84.3884,183.461
SIFT,SIFT,5,140,90,109.742,83.917,193.659
SIFT,SIFT,6,137,81,104.73,83.2984,188.029
SIFT,SIFT,7,148,82,102.469,86.6513,189.12
SIFT,SIFT,8,159,102,105.884,81.7785,187.663
SIFT,SIFT,9,137,104,105.108,82.0698,187.178
SIFT,BRIEF,0,138,NaN,128.164,1.08219,129.247
SIFT,BRIEF,1,132,86,128.476,1.04873,129.525
SIFT,BRIEF,2,124,78,145.574,1.01442,146.589
SIFT,BRIEF,3,137,76,131.408,1.09168,132.5
SIFT,BRIEF,4,134,85,127.831,1.05974,128.891
SIFT,BRIEF,5,140,69,130.038,1.10364,131.141
SIFT,BRIEF,6,137,74,126.357,1.07174,127.429
SIFT,BRIEF,7,148,76,130.055,1.14839,131.204
SIFT,BRIEF,8,159,70,126.755,1.17469,127.929
SIFT,BRIEF,9,137,88,131.6,1.07386,132.673
SIFT,BRISK,0,138,NaN,132.256,1.83724,134.094
SIFT,BRISK,1,132,64,125.501,1.78337,127.284
SIFT,BRISK,2,124,66,137.564,1.77982,139.344
SIFT,BRISK,3,137,62,128.941,1.96457,130.905
SIFT,BRISK,4,134,66,134.214,1.83175,136.046
SIFT,BRISK,5,140,59,142.938,1.87947,144.817
SIFT,BRISK,6,137,64,124.456,1.90279,126.359
SIFT,BRISK,7,148,64,128.151,2.08095,130.232
SIFT,BRISK,8,159,67,133.436,2.07896,135.515
SIFT,BRISK,9,137,80,144.288,1.88257,146.17
SIFT,FREAK,0,138,NaN,123.436,43.2883,166.724
SIFT,FREAK,1,132,65,126.894,42.5395,169.433
SIFT,FREAK,2,124,72,127.71,42.4383,170.148
SIFT,FREAK,3,137,64,121.778,42.2058,163.983
SIFT,FREAK,4,134,66,127.606,44.2947,171.901
SIFT,FREAK,5,140,59,127.516,41.5205,169.037
SIFT,FREAK,6,137,59,128.556,42.2493,170.806
SIFT,FREAK,7,148,64,119.956,40.6729,160.629
SIFT,FREAK,8,159,65,128.791,41.6269,170.418
SIFT,FREAK,9,137,79,131.827,43.9188,175.745
FAST,SIFT,0,149,NaN,1.34987,43.3363,44.6861
FAST,SIFT,1,152,118,1.3217,29.493,30.8147
FAST,SIFT,2,150,123,1.30037,37.174,38.4744
FAST,SIFT,3,155,110,1.3425,26.4221,27.7646
FAST,SIFT,4,149,119,1.48883,34.3891,35.8779
FAST,SIFT,5,149,114,1.02873,33.852,34.8807
FAST,SIFT,6,156,119,1.28051,36.1826,37.4631
FAST,SIFT,7,150,123,1.39251,36.9515,38.344
FAST,SIFT,8,138,117,1.11623,35.4592,36.5755
FAST,SIFT,9,143,103,1.70393,37.0778,38.7817
FAST,BRIEF,0,149,NaN,1.37301,0.688573,2.06158
FAST,BRIEF,1,152,119,1.352,1.19104,2.54305
FAST,BRIEF,2,150,130,1.45175,1.18806,2.63981
FAST,BRIEF,3,155,118,1.80733,2.185,3.99233
FAST,BRIEF,4,149,126,1.99044,3.00154,4.99197
FAST,BRIEF,5,149,108,2.02361,3.12146,5.14507
FAST,BRIEF,6,156,123,1.35441,1.70232,3.05674
FAST,BRIEF,7,150,131,1.87549,2.35445,4.22994
FAST,BRIEF,8,138,125,1.33173,1.38125,2.71298
FAST,BRIEF,9,143,119,1.41459,0.794714,2.20931
FAST,ORB,0,149,NaN,1.59287,1.84634,3.43921
FAST,ORB,1,152,118,0.925576,1.60876,2.53433
FAST,ORB,2,150,123,1.35479,2.75643,4.11122
FAST,ORB,3,155,112,1.77013,2.31298,4.0831
FAST,ORB,4,149,126,1.37719,1.51389,2.89108
FAST,ORB,5,149,106,1.20949,1.66912,2.87862
FAST,ORB,6,156,122,2.06703,2.61197,4.679
FAST,ORB,7,150,122,1.39436,1.82902,3.22338
FAST,ORB,8,138,123,1.2713,2.92482,4.19613
FAST,ORB,9,143,119,1.16546,2.05187,3.21733
FAST,BRISK,0,149,NaN,1.41796,2.14652,3.56448
FAST,BRISK,1,152,97,1.30689,2.059,3.36589
FAST,BRISK,2,150,104,1.32414,2.01209,3.33622
FAST,BRISK,3,155,101,1.34374,2.05485,3.39859
FAST,BRISK,4,149,98,1.27198,2.00658,3.27856
FAST,BRISK,5,149,85,1.27956,2.03682,3.31638
FAST,BRISK,6,156,107,1.17488,2.09131,3.26618
FAST,BRISK,7,150,107,1.29844,2.02498,3.32342
FAST,BRISK,8,138,100,1.32188,2.53563,3.85752
FAST,BRISK,9,143,100,1.31024,1.91816,3.22839
FAST,FREAK,0,149,NaN,1.35864,43.3245,44.6832
FAST,FREAK,1,152,98,1.33726,41.7109,43.0482
FAST,FREAK,2,150,99,1.30937,41.6039,42.9133
FAST,FREAK,3,155,91,1.22718,41.9088,43.136
FAST,FREAK,4,149,98,1.09968,46.0199,47.1195
FAST,FREAK,5,149,85,0.961727,46.7464,47.7082
FAST,FREAK,6,156,99,1.28703,41.9297,43.2167
FAST,FREAK,7,150,102,1.22461,41.8098,43.0344
FAST,FREAK,8,138,101,1.24946,44.5235,45.7729
FAST,FREAK,9,143,105,1.23772,41.9087,43.1464
ORB,SIFT,0,92,NaN,8.10315,52.5195,60.6226
ORB,SIFT,1,102,67,8.62001,56.644,65.264
ORB,SIFT,2,106,79,11.6521,65.352,77.0041
ORB,SIFT,3,113,78,10.9627,60.2905,71.2532
ORB,SIFT,4,109,79,7.89236,54.4008,62.2932
ORB,SIFT,5,125,82,9.70533,58.6762,68.3816
ORB,SIFT,6,130,95,7.55215,54.426,61.9781
ORB,SIFT,7,129,95,9.69226,66.9667,76.659
ORB,SIFT,8,127,94,7.83081,66.0815,73.9123
ORB,SIFT,9,128,94,9.61653,58.3081,67.9247
ORB,BRIEF,0,92,NaN,12.161,0.684456,12.8455
ORB,BRIEF,1,102,49,11.6811,2.54166,14.2228
ORB,BRIEF,2,106,43,12.6396,1.70553,14.3452
ORB,BRIEF,3,113,45,13.8913,0.889271,14.7806
ORB,BRIEF,4,109,59,10.5709,1.06102,11.6319
ORB,BRIEF,5,125,53,13.646,1.89688,15.5429
ORB,BRIEF,6,130,78,12.5233,2.35544,14.8788
ORB,BRIEF,7,129,68,15.0749,1.40777,16.4827
ORB,BRIEF,8,127,84,10.5285,2.18891,12.7174
ORB,BRIEF,9,128,66,14.4343,2.07813,16.5125
ORB,ORB,0,92,NaN,11.7095,10.0045,21.714
ORB,ORB,1,102,67,11.9437,9.66937,21.6131
ORB,ORB,2,106,70,9.79141,9.83673,19.6281
ORB,ORB,3,113,72,11.6643,7.81902,19.4833
ORB,ORB,4,109,84,11.9598,7.16339,19.1232
ORB,ORB,5,125,91,14.114,15.2,29.3141
ORB,ORB,6,130,101,12.0804,7.84797,19.9284
ORB,ORB,7,129,92,9.56761,10.2855,19.8531
ORB,ORB,8,127,93,13.6428,11.4481,25.0909
ORB,ORB,9,128,93,14.5959,13.2894,27.8852
ORB,BRISK,0,92,NaN,12.7525,1.41247,14.1649
ORB,BRISK,1,102,73,9.08325,1.59052,10.6738
ORB,BRISK,2,106,74,9.72244,1.61802,11.3405
ORB,BRISK,3,113,79,9.90467,1.67587,11.5805
ORB,BRISK,4,109,85,8.99111,1.65133,10.6424
ORB,BRISK,5,125,79,9.27447,1.83856,11.113
ORB,BRISK,6,130,92,8.53531,1.96669,10.502
ORB,BRISK,7,129,90,8.56921,1.85709,10.4263
ORB,BRISK,8,127,88,9.42381,1.96239,11.3862
ORB,BRISK,9,128,91,8.17924,1.85694,10.0362
ORB,FREAK,0,92,NaN,9.89612,45.7048,55.6009
ORB,FREAK,1,102,42,9.19273,46.4232,55.6159
ORB,FREAK,2,106,36,8.67366,48.0552,56.7288
ORB,FREAK,3,113,44,7.45097,46.6031,54.0541
ORB,FREAK,4,109,47,9.23373,45.0206,54.2543
ORB,FREAK,5,125,44,9.44019,49.5032,58.9434
ORB,FREAK,6,130,51,8.2712,46.0589,54.3301
ORB,FREAK,7,129,52,7.5189,40.9623,48.4812
ORB,FREAK,8,127,48,7.95022,47.2297,55.1799
ORB,FREAK,9,128,56,11.4416,48.4359,59.8775
BRISK,SIFT,0,264,NaN,40.3365,49.5324,89.8689
BRISK,SIFT,1,282,182,40.4057,48.3099,88.7156
BRISK,SIFT,2,282,193,40.6673,46.7601,87.4274
BRISK,SIFT,3,277,169,40.4236,54.2605,94.684
BRISK,SIFT,4,297,183,40.3347,54.8739,95.2086
BRISK,SIFT,5,279,171,40.8492,55.814,96.6632
BRISK,SIFT,6,289,195,39.8619,50.2253,90.0872
BRISK,SIFT,7,272,194,41.5517,49.0526,90.6043
BRISK,SIFT,8,266,176,40.0679,52.4608,92.5286
BRISK,SIFT,9,254,183,42.0592,41.8589,83.9182
BRISK,BRIEF,0,264,NaN,41.3645,1.01983,42.3843
BRISK,BRIEF,1,282,178,40.6974,1.61668,42.3141
BRISK,BRIEF,2,282,205,44.1699,1.04815,45.2181
BRISK,BRIEF,3,277,185,40.3634,1.69608,42.0595
BRISK,BRIEF,4,297,179,40.6068,1.17214,41.7789
BRISK,BRIEF,5,279,183,44.1947,1.1143,45.309
BRISK,BRIEF,6,289,195,40.5043,1.23629,41.7406
BRISK,BRIEF,7,272,207,39.7238,1.69479,41.4186
BRISK,BRIEF,8,266,189,41.3002,1.95743,43.2576
BRISK,BRIEF,9,254,183,41.115,1.57534,42.6904
BRISK,ORB,0,264,NaN,41.0021,6.36976,47.3718
BRISK,ORB,1,282,162,40.8086,5.83539,46.644
BRISK,ORB,2,282,175,40.6463,6.52119,47.1675
BRISK,ORB,3,277,158,40.2499,6.07136,46.3212
BRISK,ORB,4,297,167,40.586,6.79212,47.3781
BRISK,ORB,5,279,160,40.811,5.9811,46.7921
BRISK,ORB,6,289,182,40.4214,6.09568,46.5171
BRISK,ORB,7,272,167,39.6173,4.92707,44.5444
BRISK,ORB,8,266,171,40.1951,5.91438,46.1095
BRISK,ORB,9,254,172,40.4656,6.03522,46.5008
BRISK,BRISK,0,264,NaN,41.0645,3.33989,44.4044
BRISK,BRISK,1,282,171,40.8633,4.292,45.1553
BRISK,BRISK,2,282,176,47.0391,4.38389,51.423
BRISK,BRISK,3,277,157,40.7878,3.49679,44.2846
BRISK,BRISK,4,297,176,40.3504,3.78996,44.1403
BRISK,BRISK,5,279,174,41.2433,3.48749,44.7308
BRISK,BRISK,6,289,188,40.2726,3.73467,44.0072
BRISK,BRISK,7,272,173,39.5791,3.40008,42.9792
BRISK,BRISK,8,266,171,40.1076,3.35484,43.4624
BRISK,BRISK,9,254,184,41.479,3.20719,44.6862
BRISK,FREAK,0,264,NaN,41.1545,45.5844,86.7389
BRISK,FREAK,1,282,160,40.5726,45.7925,86.3652
BRISK,FREAK,2,282,177,40.7816,47.0698,87.8514
BRISK,FREAK,3,277,155,42.7441,42.4606,85.2047
BRISK,FREAK,4,297,173,40.2836,46.626,86.9096
BRISK,FREAK,5,279,161,41.3066,51.6923,92.9989
BRISK,FREAK,6,289,183,40.7979,43.4499,84.2478
BRISK,FREAK,7,272,169,39.4132,47.0414,86.4546
BRISK,FREAK,8,266,178,40.3896,43.9163,84.3059
BRISK,FREAK,9,254,168,40.2793,43.4383,83.7176
AKAZE,AKAZE,0,166,NaN,93.2156,63.8182,157.034
AKAZE,AKAZE,1,157,138,76.8027,61.1482,137.951
AKAZE,AKAZE,2,161,138,82.0512,60.5643,142.616
AKAZE,AKAZE,3,155,133,86.4439,59.33,145.774
AKAZE,AKAZE,4,163,127,74.8739,60.4686,135.343
AKAZE,AKAZE,5,164,129,79.4912,56.4985,135.99
AKAZE,AKAZE,6,173,146,78.9243,60.8779,139.802
AKAZE,AKAZE,7,175,147,83.1043,62.1642,145.268
AKAZE,AKAZE,8,177,151,79.0079,54.4289,133.437
AKAZE,AKAZE,9,179,150,83.67,62.5772,146.247
